,start,end,long,name,lat,distance
38648,1948,2022,-89.8467,USW00013802,38.5200,9.028766249248136
23633,1940,2022,-90.3431,USC00114489,39.1025,11.392025109930856
38411,1997,2022,-90.1572,USW00003960,38.5714,12.793611230365364
38774,1938,2022,-90.3736,USW00013994,38.7525,16.773656241931924
26905,1975,2022,-90.5233,USC00237398,38.6853,18.439023786456097
23638,1974,2022,-89.9469,USC00114629,37.9836,20.746159554180817
38415,1987,2022,-90.6558,USW00003966,38.6572,26.933785990988156
26904,1893,2022,-90.5139,USC00237397,38.8142,26.993173306293787
23536,1893,2022,-89.8697,USC00111280,39.2881,30.063536954991903
26962,1957,2022,-90.6828,USC00238805,38.6989,30.197217026151492
