,lat,end,start,name,long,distance
38649,38.5200,2022,1948,USW00013802,-89.8467,8.680709543710147
23633,39.1025,2022,1940,USC00114489,-90.3431,11.573928797217611
38412,38.5714,2022,1997,USW00003960,-90.1572,12.360562043621915
38775,38.7525,2022,1938,USW00013994,-90.3736,16.98895359672203
26905,38.6853,2022,1975,USC00237398,-90.5233,18.85710662490222
23638,37.9836,2022,1974,USC00114629,-89.9469,20.68382067361583
26904,38.8142,2022,1893,USC00237397,-90.5139,27.320476018648254
38416,38.6572,2022,1987,USW00003966,-90.6558,27.36961023475794
23536,39.2881,2022,1893,USC00111280,-89.8697,30.121358449910108
23511,38.8669,2022,1943,USC00110137,-90.1489,30.62057688469511
